Link_Detail,Show_Title,Date/Time,Venue_Name,Type,Image Url
https://www.ibdb.com/broadway-production/-juliet-534962,& Juliet,"(Nov 17, 2022 - Present)",Stephen Sondheim Theatre,Musical,https://www.broadway.org/assets/shows/andjuliet-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/aladdin-495244,Aladdin,"(Mar 20, 2014 - Present)",New Amsterdam Theatre,Musical,https://www.broadway.org/assets/shows/aladdin-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/boop-the-musical-539978,BOOP! The Musical,"(Apr 05, 2025 - Present)",Broadhurst Theatre,Musical,https://www.broadway.org/assets/shows/boop-1000-dec24.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/buena-vista-social-club-540360,Buena Vista Social Club,"(Mar 19, 2025 - Present)",Gerald Schoenfeld Theatre,Musical,https://www.broadway.org/assets/shows/buenavistasocialclub-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/cabaret-538277,Cabaret,"(Apr 21, 2024 - Present)",August Wilson Theatre,Musical,https://www.broadway.org/assets/shows/cabaret-2025-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/chicago-4804,Chicago,"(Nov 14, 1996 - Feb 09, 1997)",Richard Rodgers Theatre,Musical,https://www.broadway.org/assets/shows/chicago-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/dead-outlaw-541173,Dead Outlaw,"(Apr 27, 2025 - Present)",Longacre Theatre,Musical,https://www.broadway.org/assets/shows/deadoutlaw2024-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/death-becomes-her-539795,Death Becomes Her,"(Nov 21, 2024 - Present)",Lunt-Fontanne Theatre,Musical,https://www.broadway.org/assets/shows/dbh-update-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/floyd-collins-539860,Floyd Collins,"(Apr 21, 2025 - Present)",Vivian Beaumont Theater,Musical,https://www.broadway.org/assets/shows/floyd-collins-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/glengarry-glen-ross-541094,Glengarry Glen Ross,"(Mar 31, 2025 - Jun 28, 2025)",Palace Theatre,Play,https://www.broadway.org/assets/shows/glengarryglenross-2024-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/good-night-and-good-luck-540754,"Good Night, and Good Luck","(Apr 03, 2025 - Jun 08, 2025)",Winter Garden Theatre,Play,https://www.broadway.org/assets/shows/goodnight-goodluck-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/gypsy-539831,Gypsy,"(Dec 19, 2024 - Present)",Majestic Theatre,Musical,https://www.broadway.org/assets/shows/gypsy24-1000.jpeg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/hadestown-520711,Hadestown,"(Apr 17, 2019 - Present)",Walter Kerr Theatre,Musical,https://www.broadway.org/assets/shows/hadestown-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/hamilton-499521,Hamilton,"(Aug 06, 2015 - Present)",Richard Rodgers Theatre,Musical,https://www.broadway.org/assets/shows/hamilton-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/harry-potter-and-the-cursed-child-514844,Harry Potter and the Cursed Child,"(Apr 22, 2018 - Present)",Lyric Theatre,Play,https://www.broadway.org/assets/shows/harrypotter-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/hells-kitchen-538560,Hell's Kitchen,"(Apr 20, 2024 - Present)",Shubert Theatre,Musical,https://www.broadway.org/assets/shows/hellskitchen-2024.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/john-proctor-is-the-villain-540636,John Proctor is the Villain,"(Apr 14, 2025 - Jul 06, 2025)",Booth Theatre,Play,https://www.broadway.org/assets/shows/john-proctor-1000x1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/just-in-time-540608,Just In Time,"(Apr 26, 2025 - Present)",Circle in the Square Theatre,Musical,https://www.broadway.org/assets/shows/just-in-time-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/maybe-happy-ending-539781,Maybe Happy Ending,"(Nov 12, 2024 - Present)",Belasco Theatre,Musical,https://www.broadway.org/assets/shows/maybehappyending-2025.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/mj-524797,MJ,"(Feb 01, 2022 - Present)",Neil Simon Theatre,Musical,https://www.broadway.org/assets/shows/mj-2024-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/moulin-rouge-the-musical-520640,Moulin Rouge! The Musical,"(Jul 25, 2019 - Present)",Al Hirschfeld Theatre,Musical,https://www.broadway.org/assets/shows/moulin-rouge-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/oh-mary-539578,"Oh, Mary!","(Jul 11, 2024 - Sep 28, 2025)",Lyceum Theatre,Play,https://www.broadway.org/assets/shows/ohmary-jan2024.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/operation-mincemeat-a-new-musical-540518,Operation Mincemeat: A New Musical,"(Mar 20, 2025 - Present)",John Golden Theatre,Musical,https://www.broadway.org/assets/shows/micemeat-2025.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/othello-540298,Othello,"(Mar 23, 2025 - Jun 08, 2025)",Ethel Barrymore Theatre,Play,https://www.broadway.org/assets/shows/othello-2025.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/pirates-the-penzance-musical-539492,Pirates! The Penzance Musical,"(Apr 24, 2025 - Jul 27, 2025)",Todd Haimes Theatre,Musical,https://www.broadway.org/assets/shows/pirates-penzance-roundabout-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/purpose-540198,Purpose,"(Mar 17, 2025 - Jul 06, 2025)",Hayes Theater,Play,https://www.broadway.org/assets/shows/purpose-update-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/real-women-have-curves-the-musical-540775,Real Women Have Curves: The Musical,"(Apr 27, 2025 - Present)",James Earl Jones Theatre,Musical,https://www.broadway.org/assets/shows/rwhc-2025_2025-04-03-155443_tzjj.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/six-the-musical-523485,SIX: The Musical,"(Oct 03, 2021 - Oct 30, 2022)",Brooks Atkinson Theatre,Musical,https://www.broadway.org/assets/shows/six-broadway-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/smash-540710,SMASH,"(Apr 10, 2025 - Present)",Imperial Theatre,Musical,https://www.broadway.org/assets/shows/smash-2025_2025-01-24-213944_retn.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/stephen-sondheims-old-friends-539390,Stephen Sondheim's Old Friends,"(Apr 08, 2025 - Jun 29, 2025)",Samuel J. Friedman Theatre,Musical,https://www.broadway.org/assets/shows/oldfriends.jpg?width=2000&amp;quality=80&amp;fit=scale-down
